"EstimateS (Version 9.1.0), Copyright R. K. Colwell:  http://purl.oclc.org/estimates"																																												
"Diversity Output from Input File:  site15  (April 7, 2016)"																																												
																																												
Samples	Individuals (computed)	S(est)	S(est) 95% CI Lower Bound	S(est) 95% CI Upper Bound	S(est) SD	S Mean (runs)	Singletons Mean	Singletons SD (runs)	Doubletons Mean	Doubletons SD (runs)	Uniques Mean	Uniques SD (runs)	Duplicates Mean	Duplicates SD (runs)	ACE Mean	ACE  SD (runs)	ICE Mean	ICE SD (runs)	Chao 1 Mean	Chao 1 95% CI Lower Bound	Chao 1 95% CI Upper Bound	Chao 1 SD (analytical)	Chao 2 Mean	Chao 2 95% CI Lower Bound	Chao 2 95% CI Upper Bound	Chao 2 SD (analytical)	Jack 1 Mean	Jack 1 SD (analytical)	Jack 2 Mean	Jack 2 SD (runs)	Bootstrap Mean	Bootstrap  SD (runs)	MMRuns Mean	MMMeans (1 run)	Cole Rarefaction	Cole SD (analytical)	Alpha Mean	Alpha SD (analytical)	Shannon Mean	Shannon SD (runs)	Shannon Exponential Mean	Shannon Exponential SD (runs)	Simpson Inv Mean	Simpson Inv SD (runs)
1	1.16	1.05	0.51	1.6	0.28	1.06	0.96	0.4	0	0	1.06	0.24	0	0	1.09	0.36	1.06	0.24	1.09	1.06	2.82	0.35	1.06	1.13	2.59	0.29	1.06	0	0	0	1.06	0.24	0	0	1.1	0.97	0	0	0	0	0	0	0	0
2	2.32	2.01	1.02	3.01	0.51	1.98	1.76	0.74	0.09	0.29	1.88	0.69	0.1	0.3	2.62	0.87	2.51	0.74	2.49	2.03	8.32	1.09	2.51	2.02	8.65	1.12	2.92	0.04	2.92	0.76	2.45	0.59	2.88	23.6	2.1	1.25	0	0	0	0	0	0	0	0
3	3.47	2.89	1.52	4.26	0.7	2.85	2.4	1.03	0.25	0.44	2.56	1.05	0.28	0.45	5.2	2.03	4.86	1.56	4.4	3.1	15.43	2.27	4.54	3.14	15.92	2.37	4.56	0.29	5.36	1.74	3.62	0.93	4.66	22.85	3.01	1.39	0	0	0	0	0	0	0	0
4	4.63	3.7	2.02	5.37	0.85	3.59	2.84	1.24	0.49	0.52	3.02	1.26	0.53	0.54	8.01	3.28	7.77	2.52	6.02	3.99	20.39	3.1	6.22	4.02	21.16	3.26	5.86	0.59	7.19	2.47	4.58	1.14	10.23	22.75	3.83	1.47	0	0	0	0	0	0	0	0
5	5.79	4.45	2.51	6.38	0.99	4.42	3.47	1.37	0.61	0.58	3.66	1.43	0.67	0.6	11.84	5.3	11.58	3.9	8.07	5.09	26.83	4.2	8.36	5.18	27.68	4.39	7.35	0.83	9.24	3.09	5.67	1.34	14.36	22.91	4.58	1.51	0	0	0	0	0	0	0	0
6	6.95	5.16	3	7.32	1.1	5.18	4.02	1.5	0.69	0.65	4.22	1.47	0.78	0.63	15.32	7.27	15.7	5.59	9.97	6.11	32.46	5.18	10.07	6.13	32.67	5.23	8.7	1.06	11.09	3.35	6.66	1.44	24.87	23.3	5.27	1.52	0	0	0	0	0	0	0	0
7	8.11	5.76	3.42	8.1	1.19	5.76	4.29	1.62	0.85	0.72	4.5	1.62	0.96	0.74	17.66	9.37	18.61	8.25	10.75	6.72	34.2	5.4	11	6.79	34.89	5.56	9.62	1.25	12.26	3.82	7.39	1.61	400.57	22.96	5.9	1.51	0	0	0	0	0	0	0	0
8	9.26	6.35	3.84	8.86	1.28	6.33	4.6	1.85	0.92	0.75	4.8	1.87	1.07	0.87	19.63	11.57	21.34	11.44	12.25	7.53	38.1	6.1	12.49	7.6	38.8	6.26	10.53	1.38	13.44	4.52	8.1	1.87	85.57	22.81	6.48	1.49	0	0	0	0	0	0	0	0
9	10.42	6.91	4.25	9.57	1.36	6.92	4.85	1.7	1.11	0.86	5.08	1.7	1.28	0.94	19.93	12.18	21.95	12.45	12.79	8.06	38.88	6.14	12.94	8.09	39.24	6.24	11.44	1.55	14.52	4.18	8.82	1.73	40.93	22.74	7.03	1.46	0	0	0	0	0	0	0	0
10	11.58	7.43	4.63	10.23	1.43	7.42	5.07	1.65	1.16	0.9	5.31	1.67	1.39	0.96	20.2	12.91	22.13	13.46	13.97	8.78	41.49	6.58	14.01	8.8	41.14	6.53	12.2	1.68	15.46	4.21	9.44	1.73	38.78	22.72	7.53	1.42	0	0	0	0	0	0	0	0
11	12.74	7.92	5	10.85	1.49	7.9	5.26	1.52	1.23	0.97	5.48	1.57	1.54	0.97	19.28	10.6	20.98	11.49	14.57	9.23	42.94	6.77	14.08	9.12	40.71	6.33	12.88	1.81	16.23	3.99	10.01	1.71	39.68	22.73	8	1.37	0	0	0	0	0	0	0	0
12	13.89	8.38	5.34	11.43	1.55	8.37	5.37	1.52	1.43	0.99	5.62	1.59	1.79	1.07	18.76	8.97	20.65	10.1	14.67	9.61	42.09	6.5	14.41	9.56	40.61	6.22	13.52	1.89	16.85	4.15	10.57	1.67	35.78	22.76	8.44	1.31	0	0	0	0	0	0	0	0
13	15.05	8.82	5.66	11.98	1.61	8.8	5.5	1.57	1.48	1	5.72	1.63	1.91	1.13	18.94	8.85	20.75	10.62	15.91	10.27	45.01	7.02	15.42	10.17	42.4	6.52	14.08	1.98	17.44	4.39	11.06	1.58	32.95	22.8	8.86	1.23	0	0	0	0	0	0	0	0
14	16.21	9.24	5.97	12.51	1.67	9.2	5.55	1.37	1.61	0.84	5.74	1.42	2.13	0.98	17.97	5.96	19.33	7.83	15.3	10.38	42.03	6.32	14.83	10.31	39.06	5.76	14.53	2.08	17.76	3.8	11.51	1.39	36.49	22.85	9.26	1.15	0	0	0	0	0	0	0	0
15	17.37	9.63	6.25	13.01	1.72	9.57	5.63	1.35	1.73	0.81	5.82	1.42	2.31	0.94	18.1	6.09	19.38	7.56	15.61	10.76	41.73	6.2	14.98	10.65	38.21	5.53	15	2.15	18.19	3.82	11.94	1.41	29.46	22.9	9.64	1.05	0	0	0	0	0	0	0	0
16	18.53	10	6.52	13.48	1.78	10.03	5.83	1.2	1.85	0.83	5.98	1.24	2.51	0.95	18.6	5.69	19.55	6.53	16.07	11.21	42.39	6.24	15.2	11.03	37.78	5.35	15.64	2.25	18.82	3.39	12.49	1.16	27.11	22.94	10	0.92	0	0	0	0	0	0	0	0
17	19.68	10.35	6.77	13.94	1.83	10.32	5.88	1	1.85	0.76	5.98	1.02	2.63	0.82	18.41	4.17	19.15	4.84	16.2	11.45	42.17	6.14	14.8	11.12	35.68	4.87	15.95	2.3	19.05	2.79	12.8	0.95	26.11	22.99	10.34	0.77	0	0	0	0	0	0	0	0
18	20.84	10.68	6.99	14.37	1.88	10.75	6.04	0.76	1.94	0.62	6.1	0.8	2.81	0.69	18.64	2.92	19.16	3.3	16.21	11.73	41.55	5.92	14.96	11.5	34.71	4.6	16.51	2.37	19.58	2.23	13.3	0.71	29.41	23.02	10.68	0.55	0	0	0	0	0	0	0	0
19	22	11	7.21	14.79	1.94	11	6	0	2	0	6	0	3	0	18.22	0	18.52	0	15.77	11.82	38.72	5.31	14.55	11.6	32.01	4.01	16.68	2.4	19.52	0	13.55	0	26.65	23.06	11	0	0	0	0	0	0	0	0	0
