*MultipleIndividuals*	4	Spider Abundance																																																							
Girdled trees	*Individuals*	2	0	0																																																					
58	1																																																								
0	15	46	2	0	0	0	1	6	1	1	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	15	0	0	17	0	0	0	0	9	0	0	1	1	22	2	0	0	4	0	0	6	0	1	1	8	1	2	0	0	0	0	0
Hardwood	*Individuals*	2	0	0																																																					
58	1																																																								
0	15	59	2	0	1	0	0	0	5	0	1	0	1	0	1	1	1	0	1	0	1	0	5	1	0	0	0	0	26	0	1	0	0	0	0	0	9	0	95	1	6	0	0	0	1	0	0	1	1	10	0	1	1	1	1	0	0
Hemlock	*Individuals*	2	0	0																																																					
58	1																																																								
1	2	27	4	0	0	1	1	3	0	0	0	0	0	1	2	0	0	1	1	0	0	0	1	0	1	2	0	0	11	0	0	0	0	0	0	0	0	0	20	0	0	0	2	0	1	2	0	0	4	12	0	4	2	0	0	0	0
Logged	*Individuals*	2	0	0																																																					
58	1																																																								
1	10	22	3	3	0	0	1	4	1	0	0	1	2	0	2	0	0	0	0	4	0	2	0	0	0	8	1	1	15	1	0	1	13	88	1	1	8	5	16	0	1	1	4	1	0	3	2	0	0	7	0	3	1	0	0	7	7
